# %ECSV 0.9
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: hostname, datatype: string}
# - {name: ra, unit: deg, datatype: float64}
# - {name: dec, unit: deg, datatype: float64}
# - {name: period, unit: d, datatype: float64}
# - {name: semimajoraxis, unit: AU, datatype: float64}
# - {name: e, datatype: float64}
# - {name: omega, unit: deg, datatype: float64}
# - {name: inclination, unit: deg, datatype: float64}
# - {name: transit_epoch, unit: d, datatype: float64}
# - {name: transit_duration, unit: d, datatype: float64}
# - {name: transit_depth, datatype: float64}
# - {name: stellar_teff, unit: K, datatype: float64}
# - {name: stellar_radius, unit: solRad, datatype: float64}
# - {name: stellar_mass, unit: solMass, datatype: float64}
# - {name: stellar_age, unit: Gyr, datatype: float64}
# - {name: stellar_age_uncertainty_upper, unit: Gyr, datatype: float64}
# - {name: stellar_age_uncertainty_lower, unit: Gyr, datatype: float64}
# - {name: UJmag, datatype: float64}
# - {name: VJmag, datatype: float64}
# - {name: BJmag, datatype: float64}
# - {name: RCmag, datatype: float64}
# - {name: ICmag, datatype: float64}
# - {name: Jmag, datatype: float64}
# - {name: Hmag, datatype: float64}
# - {name: Kmag, datatype: float64}
# - {name: WISE1mag, datatype: float64}
# - {name: WISE2mag, datatype: float64}
# - {name: WISE3mag, datatype: float64}
# - {name: WISE4mag, datatype: float64}
# - {name: radius, unit: earthRad, datatype: float64}
# - {name: radius_uncertainty_upper, unit: earthRad, datatype: float64}
# - {name: radius_uncertainty_lower, unit: earthRad, datatype: float64}
# - {name: transit_ar, datatype: float64}
# - {name: transit_b, datatype: float64}
# - {name: rv_semiamplitude, datatype: float64}
# - {name: mass, unit: earthMass, datatype: float64}
# - {name: mass_uncertainty_upper, unit: earthMass, datatype: float64}
# - {name: mass_uncertainty_lower, unit: earthMass, datatype: float64}
# - {name: msini, unit: earthMass, datatype: float64}
# - {name: distance, unit: pc, datatype: float64}
# - {name: distance_uncertainty_upper, unit: pc, datatype: float64}
# - {name: distance_uncertainty_lower, unit: pc, datatype: float64}
# - {name: discoverer, datatype: string}
# - {name: method, datatype: string}
# - {name: has_transit, datatype: int32}
# - {name: has_RV, datatype: int32}
# schema: astropy-2.0
name hostname ra dec period semimajoraxis e omega inclination transit_epoch transit_duration transit_depth stellar_teff stellar_radius stellar_mass stellar_age stellar_age_uncertainty_upper stellar_age_uncertainty_lower UJmag VJmag BJmag RCmag ICmag Jmag Hmag Kmag WISE1mag WISE2mag WISE3mag WISE4mag radius radius_uncertainty_upper radius_uncertainty_lower transit_ar transit_b rv_semiamplitude mass mass_uncertainty_upper mass_uncertainty_lower msini distance distance_uncertainty_upper distance_uncertainty_lower discoverer method has_transit has_RV
"11 Com b" "11 Com" 185.179276 17.792868 326.03 1.29 0.231 94.8 nan nan nan nan 4742.0 19.0 2.7 nan inf inf 6.54 4.74 5.75 nan nan 2.943 2.484 2.282 0.639 0.732 2.358 2.27 nan inf inf nan nan 302.8 nan inf inf 6165.6 93.37 1.92 -1.92 "Xinglong Station" "Radial Velocity" 0 1
"11 UMi b" "11 UMi" 229.274536 71.823898 516.21997 1.53 0.08 nan nan nan nan nan 4213.0 29.79 2.78 1.56 inf inf nan 5.016 6.385 nan nan 2.876 2.091 1.939 -0.29 0.143 1.894 1.787 nan inf inf nan nan 189.7 nan inf inf 4684.8142 125.72 1.97 -1.97 "Thueringer Landessternwarte Tautenburg" "Radial Velocity" 0 1
"14 And b" "14 And" 352.822571 39.236198 185.84 0.83 0.0 0.0 nan nan nan nan 4813.0 11.0 2.2 4.5 inf inf 7.1 5.227 6.24 nan nan 3.019 2.608 2.331 1.592 2.545 2.719 2.719 nan inf inf nan nan 100.0 nan inf inf 1525.5 75.59 0.71 -0.71 "Okayama Astrophysical Observatory" "Radial Velocity" 0 1
"14 Her b" "14 Her" 242.601303 43.817646 1773.40002 2.93 0.37 nan nan nan nan nan 5338.0 0.93 0.9 5.24 inf inf nan 6.61 7.49 nan nan 5.158 4.803 4.714 4.676 4.543 4.721 4.674 nan inf inf nan nan 90.0 nan inf inf 1481.0878 17.94 0.01 -0.01 "W. M. Keck Observatory" "Radial Velocity" 0 1
"16 Cyg B b" "16 Cyg B" 295.466553 50.517525 798.5 1.66 0.68 nan nan nan nan nan 5750.0 1.13 1.08 7.4 inf inf 7.07 6.25 6.91 nan nan 4.993 4.695 4.651 4.773 4.568 4.926 4.713 nan inf inf nan nan 50.5 nan inf inf 565.7374 21.15 0.01 -0.01 "Multiple Observatories" "Radial Velocity" 0 1
"18 Del b" "18 Del" 314.608063 10.839286 993.3 2.6 0.08 166.1 nan nan nan nan 4979.0 8.5 2.3 1.1 inf inf nan 5.506 6.43 nan nan 4.032 3.44 3.366 3.37 2.931 3.355 3.308 nan inf inf nan nan 119.4 nan inf inf 3273.5 76.38 0.62 -0.62 "Okayama Astrophysical Observatory" "Radial Velocity" 0 1
"1RXS J160929.1-210524 b" "1RXS J160929.1-210524" 242.376268 -21.083036 nan 330.0 nan nan nan nan nan nan 4060.0 1.18 0.85 0.005 inf inf nan nan nan nan nan 9.82 9.121 8.916 8.794 8.79 8.684 8.531 nan inf inf nan nan nan 3000.0 300.0 -300.0 nan 145.0 14.0 -14.0 "Gemini Observatory" Imaging 0 0
"24 Boo b" "24 Boo" 217.157547 49.844852 30.3506 0.19 0.042 210.0 nan nan nan nan 4893.0 10.64 0.99 6.92 4.83 -2.75 nan 5.58 6.442 nan nan 3.845 3.34 3.159 nan nan nan nan nan inf inf nan nan 59.9 nan inf inf 289.2253 96.25 0.64 -0.64 "Okayama Astrophysical Observatory" "Radial Velocity" 0 1
"24 Sex b" "24 Sex" 155.86821 -0.902244 452.8 1.333 0.09 9.2 nan nan nan nan 5098.0 4.9 1.54 2.7 0.4 -0.4 nan 6.441 7.399 nan nan 5.292 4.486 4.285 4.094 3.598 4.254 4.201 nan inf inf nan nan 40.0 nan inf inf 632.46 72.21 0.68 -0.68 "Lick Observatory" "Radial Velocity" 0 1
"24 Sex c" "24 Sex" 155.86821 -0.902244 883.0 2.08 0.29 220.5 nan nan nan nan 5098.0 4.9 1.54 2.7 0.4 -0.4 nan 6.441 7.399 nan nan 5.292 4.486 4.285 4.094 3.598 4.254 4.201 nan inf inf nan nan 14.5 nan inf inf 273.32 72.21 0.68 -0.68 "Lick Observatory" "Radial Velocity" 0 1
"2MASS J01033563-5515561 AB b" "2MASS J01033563-5515561 A" 15.898458 -55.265583 nan 84.0 nan nan nan nan nan nan nan nan 0.19 0.03 inf inf nan nan nan nan nan 7.36 6.78 6.44 nan nan nan nan nan inf inf nan nan nan 4131.79 317.83 -317.83 nan 47.2 3.1 -3.1 "Paranal Observatory" Imaging 0 0
"2MASS J01225093-2439505 b" "2MASS J01225093-2439505" 20.712243 -24.664049 nan 52.0 nan nan nan nan nan nan 3530.0 nan 0.4 0.12 0.01 -0.01 nan 14.24 nan nan nan 10.084 9.47 9.198 9.022 8.857 8.747 8.298 nan inf inf nan nan nan 7786.5 794.5 -794.5 nan 36.0 4.0 -4.0 "W. M. Keck Observatory" Imaging 0 0
"2MASS J02192210-3925225 b" "2MASS J02192210-3925225" 34.842106 -39.422928 nan 156.0 nan nan nan nan nan nan 3064.0 0.28 0.11 0.035 0.005 -0.005 nan nan 18.5 15.23 13.42 11.381 10.811 10.404 10.148 9.901 9.614 9.001 16.141 0.336 -0.336 nan nan nan 4417.837 349.613 -349.613 nan 39.4 2.6 -2.6 "Cerro Tololo Inter-American Observatory" Imaging 0 0
"2MASS J04414489+2301513 b" "2MASS J04414489+2301513" 70.437073 23.030941 nan 15.0 nan nan nan nan nan nan nan nan 0.02 0.001 inf inf nan nan nan nan nan 14.419 13.726 13.161 nan nan nan nan nan inf inf nan nan nan 2383.6 794.5 -794.5 nan 140.0 nan nan "Hubble Space Telescope" Imaging 0 0
